,0
366,117125.28959000001
367,117125.28959000001
368,117409.00959000002
369,117651.31959000001
370,117604.57959000002
371,117406.13959000002
372,118132.24959000002
373,118132.24959000002
374,118132.24959000002
375,119036.29959000001
376,119068.27959
377,119745.59959000001
378,119216.28959000001
379,119232.27959
380,119232.27959
381,119232.27959
382,119232.27959
383,119035.47959
384,118702.55959
385,118270.00959000002
386,118008.83959
387,118008.83959
388,118008.83959
389,118232.28959000001
390,118673.44959
391,118715.67959000001
392,119341.33959
393,119374.13959000002
394,119374.13959000002
395,119374.13959000002
396,118710.75959000002
397,119346.66959
398,119495.90959000001
399,120430.70959000001
400,120386.42959000001
401,120386.42959000001
402,120386.42959000001
403,119964.12959000001
404,119807.91959
405,119414.72959
406,119743.95959000001
407,119743.13959000002
408,119743.13959000002
409,119743.13959000002
410,120178.14959000002
411,120130.58959
412,120215.86959000002
413,119235.96959000002
414,118578.32959000002
415,118578.32959000002
416,118578.32959000002
417,118531.58959
418,118363.89959000002
419,114482.83959
420,112133.12959000001
421,113722.28959000001
422,113722.28959000001
423,113722.28959000001
424,113052.34959000001
425,115476.67959000001
426,115447.56959000001
427,113789.93959000002
428,113748.93959000002
429,113748.93959000002
430,113748.93959000002
431,113261.03959000001
432,112638.24959000002
433,109170.05959
434,111198.32959000002
435,109276.24959000002
436,109276.24959000002
437,109276.24959000002
438,108561.20959000001
439,110257.78959000001
440,111451.29959000001
441,112625.12959000001
442,111915.41959
443,111915.41959
444,111915.41959
445,112540.66959
446,113243.40959000001
447,115639.44959
448,115349.98959000001
449,114291.36959000002
450,114291.36959000002
451,114291.36959000002
452,112044.97959
453,111879.33959
454,111034.73959000001
455,112208.15959000001
456,112457.02959
457,112457.02959
458,112457.02959
459,110589.88959000002
460,108587.44959
461,108917.08959
462,108917.08959
463,108204.91959
464,108204.91959
465,108204.91959
466,109881.40959000001
467,110238.92959000001
468,112765.34959000001
469,112518.11959000002
470,113436.92959000001
471,113436.92959000001
472,113436.92959000001
473,114675.12959000001
474,110972.41959
475,110972.41959
476,110803.90959000001
477,108226.23959000001
478,108226.23959000001
479,108226.23959000001
480,108416.47959
481,108377.93959000002
482,108963.82959000002
483,108942.09959000001
484,106867.90959000001
485,106867.90959000001
486,106867.90959000001
487,104653.49959000002
488,104662.51959000001
489,103055.31959000001
490,101434.17959000001
491,99351.37959000001
492,99351.37959000001
493,99351.37959000001
494,96665.05959
495,96665.05959
496,101445.65959000001
497,102311.98959000001
498,102185.29959000001
499,102185.29959000001
500,102185.29959000001
501,103050.80959
502,103050.80959
503,103181.18959000002
504,100633.44959
505,104079.49959000002
506,104079.49959000002
507,104079.49959000002
508,104807.24959000002
509,105820.76959000001
510,106253.31959000001
511,106732.19959
512,106716.61959000002
513,106716.61959000002
514,106716.61959000002
515,106156.96959000002
516,107292.25959000002
517,107530.05959
518,108344.31959000001
519,109769.06959000001
520,109769.06959000001
521,109769.06959000001
522,109769.06959000001
523,108218.85959000002
524,108456.65959000001
525,108605.48959000001
526,109525.11959000002
527,109525.11959000002
528,109525.11959000002
529,108667.80959
530,108509.95959000001
531,110193.00959000002
532,111138.05959
533,111237.68959000002
534,111237.68959000002
535,111237.68959000002
536,111989.62959000001
537,112515.65959000001
538,112265.96959000002
539,111218.00959000002
540,111293.03959000001
541,111293.03959000001
542,111293.03959000001
543,111371.75959000002
544,112803.88959000002
545,113144.18959000002
546,112844.88959000002
547,114069.55959
548,114069.55959
549,114069.55959
550,114069.55959
551,114240.11959000002
552,114442.65959000001
553,114040.03959000001
554,114769.42959000001
555,114769.42959000001
556,114769.42959000001
557,114910.46959000002
558,114819.85959000002
559,114757.53959000001
560,114434.04959000001
561,115221.24959000002
562,115221.24959000002
563,115221.24959000002
564,114775.16959
565,114645.60959000002
566,113899.40959000001
567,112976.08959
568,112735.82959000002
569,112735.82959000002
570,112735.82959000002
571,114385.25959000002
572,114722.27959
573,115517.67959000001
574,115417.63959000002
575,115991.63959000002
576,115991.63959000002
577,115991.63959000002
578,116420.49959000002
579,116405.32959000002
580,116063.38959000002
581,117320.03959000001
582,115099.06959000001
583,115099.06959000001
584,115099.06959000001
585,115002.71959000002
586,115826.81959000001
587,115290.12959000001
588,115702.99959000002
589,116480.35959000002
590,116480.35959000002
591,116480.35959000002
592,117824.74959000002
593,117826.79959000001
594,118079.35959000002
595,118324.94959
596,118872.29959000001
597,118872.29959000001
598,118872.29959000001
599,118996.52959
600,118276.15959000001
601,118686.56959000001
602,118691.07959000002
603,119473.76959000001
604,119473.76959000001
605,119473.76959000001
606,119398.73959000001
607,119459.41959
608,119188.40959000001
609,119376.18959000002
610,119376.18959000002
611,119376.18959000002
612,119376.18959000002
613,119496.72959
614,120550.83959
615,120287.20959000001
616,120242.92959000001
617,120805.03959000001
618,120805.03959000001
619,120805.03959000001
620,120934.18959000002
621,121048.98959000001
622,120142.88959000002
623,119888.27959
624,121041.19959
625,121041.19959
626,121041.19959
627,120501.22959
628,118516.00959000002
629,118326.17959000001
630,117969.47959
631,118407.35959000002
632,118407.35959000002
633,118407.35959000002
634,115556.62959000001
635,116480.76959000001
636,117159.31959000001
637,118199.07959000002
638,117510.68959000002
639,117510.68959000002
640,117510.68959000002
641,116719.38959000002
642,117708.71959000002
643,117377.02959
644,115981.79959000001
645,116138.41959
646,116138.41959
647,116138.41959
648,116138.41959
649,115167.94959
650,114373.77959
651,114613.21959000002
652,113104.41959
653,113104.41959
654,113104.41959
655,112792.40959000001
656,115204.02959
657,116142.10959000002
658,116853.04959000001
659,118076.89959000002
660,118076.89959000002
661,118076.89959000002
662,118625.88959000002
663,118584.47959
664,118343.39959000002
665,118827.19959
666,118636.13959000002
667,118636.13959000002
668,118636.13959000002
669,118746.42959000001
670,119897.70959000001
671,120254.81959000001
672,121391.33959
673,121238.81959000001
674,121238.81959000001
675,121238.81959000001
676,121029.30959
677,119882.53959000001
678,119734.93959000002
679,120191.67959000001
680,120882.11959000002
681,120882.11959000002
682,120882.11959000002
683,121807.48959000001
684,122163.36959000002
685,123098.57959000002
686,123098.57959000002
687,122876.76959000001
688,122876.76959000001
689,122876.76959000001
690,122283.90959000001
691,122434.78959000001
692,122985.82959000002
693,123266.26959000001
694,123834.52959
695,123834.52959
696,123834.52959
697,123856.25959000002
698,123435.59959000001
699,122631.17959000001
700,123069.46959000002
701,122310.96959000002
702,122310.96959000002
703,122310.96959000002
704,122656.18959000002
705,123494.22959
706,124071.91959
707,123420.42959000001
708,124330.21959000002
709,124330.21959000002
710,124330.21959000002
711,124129.72959
712,123810.33959
713,122465.53959000001
714,121365.91959
715,120484.00959000002
716,120484.00959000002
717,120484.00959000002
718,116904.29959000001
719,118422.52959
720,118513.13959000002
721,120731.64959000002
722,119934.60959000002
723,119934.60959000002
724,119934.60959000002
725,118503.70959000001
726,120249.07959000002
727,116734.55959
728,117021.55959
729,118705.83959
730,118705.83959
731,118705.83959
732,120139.60959000002
733,119190.86959000002
734,120171.58959
735,120110.90959000001
736,117001.46959000002
737,117001.46959000002
738,117001.46959000002
739,118283.53959000001
740,117905.51959000001
741,118675.49959000002
742,120177.73959000001
743,120254.81959000001
744,120254.81959000001
745,120254.81959000001
746,120254.81959000001
747,119427.02959
748,120718.93959000002
749,122285.95959000001
750,122397.06959000001
751,122397.06959000001
752,122397.06959000001
753,122385.58959
754,122424.94959
755,123308.08959
756,123662.32959000002
757,123572.94959
758,123572.94959
759,123572.94959
760,123186.31959000001
761,123503.65959000001
762,123545.88959000002
763,123548.34959000001
764,122944.82959000002
765,122944.82959000002
766,122944.82959000002
767,122932.93959000002
768,121900.55959
769,122649.62959000001
770,122352.37959000001
771,121703.34959000001
772,121703.34959000001
773,121703.34959000001
774,122316.29959000001
775,120820.20959000001
776,118661.96959000002
777,119605.78959000001
778,121302.36959000002
779,121302.36959000002
780,121302.36959000002
781,120760.34959000001
782,118885.41959
783,119965.35959000002
784,120733.28959000001
785,122051.02959
786,122051.02959
787,122051.02959
