Date,Open,High,Low,Close,correlation
2021-11-30,4640.25,4646.02,4560.0,4567.0,-0.5633233246296961
2021-12-01,4602.82,4652.94,4510.27,4513.04,-0.32059334922958027
2021-12-02,4504.73,4595.46,4504.73,4577.1,-0.25101889359268387
2021-12-03,4589.49,4608.03,4495.12,4538.43,-0.15277154625066242
2021-12-04,4589.49,4608.03,4495.12,4538.43,-0.06877768428950955
2021-12-05,4589.49,4608.03,4495.12,4538.43,-0.06604777762731624
2021-12-06,4548.37,4612.6,4540.51,4591.67,-0.04440625091956275
2021-12-07,4631.97,4694.04,4631.97,4686.75,-0.2827162341904797
2021-12-08,4690.86,4705.06,4674.52,4701.21,-0.3424592198521802
2021-12-09,4691.0,4695.26,4665.98,4667.45,-0.32270899779348383
2021-12-10,4687.64,4713.57,4670.24,4712.02,-0.3768733598946434
2021-12-11,4687.64,4713.57,4670.24,4712.02,-0.5004518661552293
2021-12-12,4687.64,4713.57,4670.24,4712.02,-0.5862511810338784
2021-12-13,4710.3,4710.3,4667.6,4668.97,-0.7489184080551369
2021-12-14,4642.99,4660.47,4606.52,4634.09,-0.7459444805041205
2021-12-15,4636.46,4712.6,4611.22,4709.85,-0.7779484239859603
2021-12-16,4719.13,4731.99,4651.89,4668.67,-0.793373166023197
2021-12-17,4652.5,4666.7,4600.22,4620.64,-0.759891232598674
2021-12-18,4652.5,4666.7,4600.22,4620.64,-0.6457393070849492
2021-12-19,4652.5,4666.7,4600.22,4620.64,-0.49659322452494864
2021-12-20,4587.9,4587.9,4531.1,4568.02,-0.16056775172252152
2021-12-21,4594.96,4651.14,4583.16,4649.23,-0.2510395530375291
2021-12-22,4650.36,4697.67,4645.53,4696.56,-0.15738752789796628
2021-12-23,4703.96,4740.74,4703.96,4725.79,-0.036749692897047666
2021-12-24,4703.96,4740.74,4703.96,4725.79,-0.06917160449407678
2021-12-25,4703.96,4740.74,4703.96,4725.79,0.16118787259303877
2021-12-26,4703.96,4740.74,4703.96,4725.79,0.042387932688261964
2021-12-27,4733.99,4791.49,4733.99,4791.19,-0.3738150114617934
2021-12-28,4795.49,4807.02,4780.04,4786.35,-0.5046004650958458
2021-12-29,4788.64,4804.06,4778.08,4793.06,-0.5877011891278355
2021-12-30,4794.23,4808.93,4775.33,4778.73,-0.6168368672199794
2021-12-31,4775.21,4786.83,4765.75,4766.18,-0.6520249309607926
2022-01-01,4775.21,4786.83,4765.75,4766.18,-0.6884615068759764
2022-01-02,4775.21,4786.83,4765.75,4766.18,-0.6877604790744998
2022-01-03,4778.14,4796.64,4758.17,4796.56,-0.8755646720575104
2022-01-04,4804.51,4818.62,4774.27,4793.54,-0.8741479179225125
2022-01-05,4787.99,4797.7,4699.44,4700.58,-0.2513504110338743
2022-01-06,4693.39,4725.01,4671.26,4696.05,0.1969430474714901
2022-01-07,4697.66,4707.95,4662.74,4677.03,0.5019277995630843
2022-01-08,4697.66,4707.95,4662.74,4677.03,0.7409638059709569
2022-01-09,4697.66,4707.95,4662.74,4677.03,0.8292000025388494
2022-01-10,4655.34,4673.02,4582.24,4670.29,0.8006688349727586
2022-01-11,4669.14,4714.13,4638.27,4713.07,0.7896182872273745
2022-01-12,4728.59,4748.83,4706.71,4726.35,0.771937231043657
2022-01-13,4733.56,4744.13,4650.29,4659.03,0.7148805756783798
2022-01-14,4637.99,4665.13,4614.75,4662.85,0.6634888245501525
2022-01-15,4637.99,4665.13,4614.75,4662.85,0.6294201084956489
2022-01-16,4637.99,4665.13,4614.75,4662.85,0.5949051080149589
2022-01-17,4637.99,4665.13,4614.75,4662.85,0.38822811722108325
2022-01-18,4632.24,4632.24,4568.7,4577.11,0.41010223314614985
2022-01-19,4588.03,4611.55,4530.2,4532.76,0.7719417037622578
2022-01-20,4547.35,4602.11,4477.95,4482.73,0.9043249079953518
2022-01-21,4471.38,4494.52,4395.34,4397.94,0.9011227368833857
2022-01-22,4471.38,4494.52,4395.34,4397.94,0.9280631639232017
2022-01-23,4471.38,4494.52,4395.34,4397.94,0.9354122597124911
2022-01-24,4356.32,4417.35,4222.62,4410.13,0.9439197811505214
